"time","h","v","ground"
0,1,0,0.2
0.01,1,-0.0981,0.2
0.02,0.999019,-0.1962,0.2
0.03,0.997057,-0.2943,0.2
0.04,0.994114,-0.3924,0.2
0.05,0.99019,-0.4905,0.2
0.06,0.985285,-0.5886,0.2
0.07,0.979399,-0.6867,0.2
0.08,0.972532,-0.7848,0.2
0.09,0.964684,-0.8829,0.2
0.1,0.955855,-0.981,0.2
0.11,0.946045,-1.0791,0.2
0.12,0.935254,-1.1772,0.2
0.13,0.923482,-1.2753,0.2
0.14,0.910729,-1.3734,0.2
0.15,0.896995,-1.4715,0.2
0.16,0.88228,-1.5696,0.2
0.17,0.866584,-1.6677,0.2
0.18,0.849907,-1.7658,0.2
0.19,0.832249,-1.8639,0.2
0.2,0.81361,-1.962,0.2
0.21,0.79399,-2.0601,0.2
0.22,0.773389,-2.1582,0.2
0.23,0.751807,-2.2563,0.2
0.24,0.729244,-2.3544,0.2
0.25,0.7057,-2.4525,0.2
0.26,0.681175,-2.5506,0.2
0.27,0.655669,-2.6487,0.2
0.28,0.629182,-2.7468,0.2
0.29,0.601714,-2.8449,0.2
0.3,0.573265,-2.943,0.2
0.31,0.543835,-3.0411,0.2
0.32,0.513424,-3.1392,0.2
0.33,0.482032,-3.2373,0.2
0.34,0.449659,-3.3354,0.2
0.35,0.416305,-3.4335,0.2
0.36,0.38197,-3.5316,0.2
0.37,0.346654,-3.6297,0.2
0.38,0.310357,-3.7278,0.2
0.39,0.273079,-3.8259,0.2
0.4,0.23482,-3.924,0.2
0.41,0.19558,-4.0221,0.2
0.41,0.2,2.81547,0.2
0.42,0.228155,2.71737,0.2
0.42,0.228155,2.71737,0.2
0.43,0.255328,2.61927,0.2
0.44,0.281521,2.52117,0.2
0.45,0.306733,2.42307,0.2
0.46,0.330964,2.32497,0.2
0.47,0.354213,2.22687,0.2
0.48,0.376482,2.12877,0.2
0.49,0.39777,2.03067,0.2
0.5,0.418076,1.93257,0.2
0.51,0.437402,1.83447,0.2
0.52,0.455747,1.73637,0.2
0.53,0.47311,1.63827,0.2
0.54,0.489493,1.54017,0.2
0.55,0.504895,1.44207,0.2
0.56,0.519316,1.34397,0.2
0.57,0.532755,1.24587,0.2
0.58,0.545214,1.14777,0.2
0.59,0.556692,1.04967,0.2
0.6,0.567188,0.95157,0.2
0.61,0.576704,0.85347,0.2
0.61,0.576704,0.85347,0.1
0.62,0.585239,0.75537,0.1
0.63,0.592792,0.65727,0.1
0.64,0.599365,0.55917,0.1
0.65,0.604957,0.46107,0.1
0.66,0.609568,0.36297,0.1
0.67,0.613197,0.26487,0.1
0.68,0.615846,0.16677,0.1
0.69,0.617514,0.06867,0.1
0.7,0.6182,-0.02943,0.1
0.71,0.617906,-0.12753,0.1
0.72,0.616631,-0.22563,0.1
0.73,0.614374,-0.32373,0.1
0.74,0.611137,-0.42183,0.1
0.75,0.606919,-0.51993,0.1
0.76,0.60172,-0.61803,0.1
0.77,0.595539,-0.71613,0.1
0.78,0.588378,-0.81423,0.1
0.79,0.580236,-0.91233,0.1
0.8,0.571112,-1.01043,0.1
0.81,0.561008,-1.10853,0.1
0.82,0.549923,-1.20663,0.1
0.83,0.537856,-1.30473,0.1
0.84,0.524809,-1.40283,0.1
0.85,0.510781,-1.50093,0.1
0.86,0.495772,-1.59903,0.1
0.87,0.479781,-1.69713,0.1
0.88,0.46281,-1.79523,0.1
0.89,0.444858,-1.89333,0.1
0.9,0.425924,-1.99143,0.1
0.91,0.40601,-2.08953,0.1
0.92,0.385115,-2.18763,0.1
0.93,0.363238,-2.28573,0.1
0.94,0.340381,-2.38383,0.1
0.95,0.316543,-2.48193,0.1
0.96,0.291723,-2.58003,0.1
0.97,0.265923,-2.67813,0.1
0.98,0.239142,-2.77623,0.1
0.99,0.21138,-2.87433,0.1
1,0.182636,-2.97243,0.1
1.01,0.152912,-3.07053,0.1
1.02,0.122207,-3.16863,0.1
1.03,0.0905204,-3.26673,0.1
1.03,0.1,2.28671,0.1
1.04,0.122867,2.18861,0.1
1.04,0.122867,2.18861,0.1
1.05,0.144753,2.09051,0.1
1.06,0.165658,1.99241,0.1
1.07,0.185582,1.89431,0.1
1.08,0.204526,1.79621,0.1
1.09,0.222488,1.69811,0.1
1.1,0.239469,1.60001,0.1
1.11,0.255469,1.50191,0.1
1.12,0.270488,1.40381,0.1
1.13,0.284526,1.30571,0.1
1.14,0.297583,1.20761,0.1
1.15,0.309659,1.10951,0.1
1.16,0.320754,1.01141,0.1
1.17,0.330869,0.913311,0.1
1.18,0.340002,0.815211,0.1
1.19,0.348154,0.717111,0.1
1.2,0.355325,0.619011,0.1
1.21,0.361515,0.520911,0.1
1.22,0.366724,0.422811,0.1
1.23,0.370952,0.324711,0.1
1.23,0.370952,0.324711,0
1.24,0.374199,0.226611,0
1.25,0.376465,0.128511,0
1.26,0.377751,0.030411,0
1.27,0.378055,-0.067689,0
1.28,0.377378,-0.165789,0
1.29,0.37572,-0.263889,0
1.3,0.373081,-0.361989,0
1.31,0.369461,-0.460089,0
1.32,0.36486,-0.558189,0
1.33,0.359278,-0.656289,0
1.34,0.352715,-0.754389,0
1.35,0.345172,-0.852489,0
1.36,0.336647,-0.950589,0
1.37,0.327141,-1.04869,0
1.38,0.316654,-1.14679,0
1.39,0.305186,-1.24489,0
1.4,0.292737,-1.34299,0
1.41,0.279307,-1.44109,0
1.42,0.264896,-1.53919,0
1.43,0.249504,-1.63729,0
1.44,0.233132,-1.73539,0
1.45,0.215778,-1.83349,0
1.46,0.197443,-1.93159,0
1.47,0.178127,-2.02969,0
1.48,0.15783,-2.12779,0
1.49,0.136552,-2.22589,0
1.5,0.114293,-2.32399,0
1.51,0.0910533,-2.42209,0
1.52,0.0668324,-2.52019,0
1.53,0.0416305,-2.61829,0
1.54,0.0154476,-2.71639,0
1.55,-0.0117163,-2.81449,0
1.55,0,1.97014,0
1.56,0.0197014,1.87204,0
1.56,0.0197014,1.87204,0
1.57,0.0384218,1.77394,0
1.58,0.0561613,1.67584,0
1.59,0.0729197,1.57774,0
1.6,0.0886971,1.47964,0
1.61,0.103494,1.38154,0
1.62,0.117309,1.28344,0
1.63,0.130143,1.18534,0
1.64,0.141997,1.08724,0
1.65,0.152869,0.989142,0
1.66,0.162761,0.891042,0
1.67,0.171671,0.792942,0
1.68,0.1796,0.694842,0
1.69,0.186549,0.596742,0
1.7,0.192516,0.498642,0
1.71,0.197503,0.400542,0
1.72,0.201508,0.302442,0
1.73,0.204533,0.204342,0
1.74,0.206576,0.106242,0
1.75,0.207638,0.0081423,0
1.75,0.207638,0.0081423,-0.1
1.76,0.20772,-0.0899577,-0.1
1.77,0.20682,-0.188058,-0.1
1.78,0.20494,-0.286158,-0.1
1.79,0.202078,-0.384258,-0.1
1.8,0.198236,-0.482358,-0.1
1.81,0.193412,-0.580458,-0.1
1.82,0.187607,-0.678558,-0.1
1.83,0.180822,-0.776658,-0.1
1.84,0.173055,-0.874758,-0.1
1.85,0.164308,-0.972858,-0.1
1.86,0.154579,-1.07096,-0.1
1.87,0.14387,-1.16906,-0.1
1.88,0.132179,-1.26716,-0.1
1.89,0.119507,-1.36526,-0.1
1.9,0.105855,-1.46336,-0.1
1.91,0.0912212,-1.56146,-0.1
1.92,0.0756067,-1.65956,-0.1
1.93,0.0590111,-1.75766,-0.1
1.94,0.0414345,-1.85576,-0.1
1.95,0.0228769,-1.95386,-0.1
1.96,0.00333834,-2.05196,-0.1
1.97,-0.0171812,-2.15006,-0.1
1.98,-0.0386818,-2.24816,-0.1
1.99,-0.0611634,-2.34626,-0.1
2,-0.084626,-2.44436,-0.1
2.01,-0.10907,-2.54246,-0.1
2.01,-0.1,1.77972,-0.1
2.02,-0.0822028,1.68162,-0.1
2.02,-0.0822028,1.68162,-0.1
2.03,-0.0653866,1.58352,-0.1
2.04,-0.0495514,1.48542,-0.1
2.05,-0.0346972,1.38732,-0.1
2.06,-0.020824,1.28922,-0.1
2.07,-0.00793178,1.19112,-0.1
2.08,0.00397943,1.09302,-0.1
2.09,0.0149096,0.99492,-0.1
2.1,0.0248588,0.89682,-0.1
2.11,0.033827,0.79872,-0.1
2.12,0.0418142,0.70062,-0.1
2.13,0.0488204,0.60252,-0.1
2.14,0.0548457,0.50442,-0.1
2.15,0.0598899,0.40632,-0.1
2.16,0.0639531,0.30822,-0.1
2.17,0.0670353,0.21012,-0.1
2.18,0.0691365,0.11202,-0.1
2.19,0.0702567,0.0139204,-0.1
2.2,0.0703959,-0.0841796,-0.1
2.21,0.0695541,-0.18228,-0.1
2.22,0.0677313,-0.28038,-0.1
2.22,0.0677313,-0.28038,-0.2
2.23,0.0649275,-0.37848,-0.2
2.24,0.0611427,-0.47658,-0.2
2.25,0.0563769,-0.57468,-0.2
2.26,0.0506301,-0.67278,-0.2
2.27,0.0439023,-0.77088,-0.2
2.28,0.0361935,-0.86898,-0.2
2.29,0.0275037,-0.96708,-0.2
2.3,0.0178329,-1.06518,-0.2
2.31,0.00718112,-1.16328,-0.2
2.32,-0.00445168,-1.26138,-0.2
2.33,-0.0170655,-1.35948,-0.2
2.34,-0.0306603,-1.45758,-0.2
2.35,-0.0452361,-1.55568,-0.2
2.36,-0.0607929,-1.65378,-0.2
2.37,-0.0773307,-1.75188,-0.2
2.38,-0.0948495,-1.84998,-0.2
2.39,-0.113349,-1.94808,-0.2
2.4,-0.13283,-2.04618,-0.2
2.41,-0.153292,-2.14428,-0.2
2.42,-0.174735,-2.24238,-0.2
2.43,-0.197158,-2.34048,-0.2
2.44,-0.220563,-2.43858,-0.2
2.44,-0.2,1.70701,-0.2
2.45,-0.18293,1.60891,-0.2
2.45,-0.18293,1.60891,-0.2
2.46,-0.166841,1.51081,-0.2
2.47,-0.151733,1.41271,-0.2
2.48,-0.137606,1.31461,-0.2
2.49,-0.12446,1.21651,-0.2
2.5,-0.112295,1.11841,-0.2
2.51,-0.101111,1.02031,-0.2
2.52,-0.0909075,0.922206,-0.2
2.53,-0.0816855,0.824106,-0.2
2.54,-0.0734444,0.726006,-0.2
2.55,-0.0661844,0.627906,-0.2
2.56,-0.0599053,0.529806,-0.2
2.57,-0.0546073,0.431706,-0.2
2.58,-0.0502902,0.333606,-0.2
2.59,-0.0469541,0.235506,-0.2
2.6,-0.0445991,0.137406,-0.2
2.61,-0.043225,0.0393057,-0.2
2.62,-0.042832,-0.0587943,-0.2
2.63,-0.0434199,-0.156894,-0.2
2.64,-0.0449889,-0.254994,-0.2
2.65,-0.0475388,-0.353094,-0.2
2.65,-0.0475388,-0.353094,-0.3
2.66,-0.0510697,-0.451194,-0.3
2.67,-0.0555817,-0.549294,-0.3
2.68,-0.0610746,-0.647394,-0.3
2.69,-0.0675486,-0.745494,-0.3
2.7,-0.0750035,-0.843594,-0.3
2.71,-0.0834395,-0.941694,-0.3
2.72,-0.0928564,-1.03979,-0.3
2.73,-0.103254,-1.13789,-0.3
2.74,-0.114633,-1.23599,-0.3
2.75,-0.126993,-1.33409,-0.3
2.76,-0.140334,-1.43219,-0.3
2.77,-0.154656,-1.53029,-0.3
2.78,-0.169959,-1.62839,-0.3
2.79,-0.186243,-1.72649,-0.3
2.8,-0.203508,-1.82459,-0.3
2.81,-0.221754,-1.92269,-0.3
2.82,-0.240981,-2.02079,-0.3
2.83,-0.261189,-2.11889,-0.3
2.84,-0.282378,-2.21699,-0.3
2.85,-0.304548,-2.31509,-0.3
2.85,-0.3,1.62057,-0.3
2.86,-0.283794,1.52247,-0.3
2.86,-0.283794,1.52247,-0.3
2.87,-0.26857,1.42437,-0.3
2.88,-0.254326,1.32627,-0.3
2.89,-0.241063,1.22817,-0.3
2.9,-0.228782,1.13007,-0.3
2.91,-0.217481,1.03197,-0.3
2.92,-0.207161,0.933866,-0.3
2.93,-0.197823,0.835766,-0.3
2.94,-0.189465,0.737666,-0.3
2.95,-0.182088,0.639566,-0.3
2.96,-0.175693,0.541466,-0.3
2.97,-0.170278,0.443366,-0.3
2.98,-0.165844,0.345266,-0.3
2.99,-0.162392,0.247166,-0.3
3,-0.15992,0.149066,-0.3
